,game_id,title,rating,bayes_rating,std,category,mechanic,ratings,year
58,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Adventure,Minimap Resolution,1875,2018
59,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Adventure,Role Playing,1875,2018
60,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Adventure,Solo / Solitaire Game,1875,2018
61,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Adventure,Tech Trees / Tech Tracks,1875,2018
62,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Adventure,Variable Player Powers,1875,2018
63,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,Cooperative Game,1875,2018
64,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,"Deck, Bag, and Pool Building",1875,2018
65,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,Dice Rolling,1875,2018
66,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,Minimap Resolution,1875,2018
67,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,Role Playing,1875,2018
68,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,Solo / Solitaire Game,1875,2018
69,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,Tech Trees / Tech Tracks,1875,2018
70,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Dice,Variable Player Powers,1875,2018
71,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,Cooperative Game,1875,2018
72,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,"Deck, Bag, and Pool Building",1875,2018
73,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,Dice Rolling,1875,2018
74,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,Minimap Resolution,1875,2018
75,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,Role Playing,1875,2018
76,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,Solo / Solitaire Game,1875,2018
77,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,Tech Trees / Tech Tracks,1875,2018
78,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fantasy,Variable Player Powers,1875,2018
79,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,Cooperative Game,1875,2018
80,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,"Deck, Bag, and Pool Building",1875,2018
81,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,Dice Rolling,1875,2018
82,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,Minimap Resolution,1875,2018
83,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,Role Playing,1875,2018
84,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,Solo / Solitaire Game,1875,2018
85,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,Tech Trees / Tech Tracks,1875,2018
86,235802,too_many_bones_undertow,8.76914,7.14766,1.29365,Fighting,Variable Player Powers,1875,2018
87,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Action Queue,45304,2017
88,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Action Retrieval,45304,2017
89,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Campaign / Battle Card Driven,45304,2017
90,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Card Play Conflict Resolution,45304,2017
91,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Communication Limits,45304,2017
92,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Cooperative Game,45304,2017
93,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Critical Hits and Failures,45304,2017
94,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Deck Construction,45304,2017
95,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,"Deck, Bag, and Pool Building",45304,2017
96,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Grid Movement,45304,2017
97,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Hand Management,45304,2017
98,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Hexagon Grid,45304,2017
99,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Legacy Game,45304,2017
100,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Modular Board,45304,2017
101,174430,gloomhaven,8.76798,8.53089,1.63005,Adventure,Once-Per-Game Abilities,45304,2017
